bug	G79886	G79887	G79888	G79889	G79890	G79893	G79894	G79897	G79899	G79902	G79903	G79904	G79905	G79906	G79907	G79908	G79909	G79910	G79911	G79913	G79914	G79915	G79916	G79917	G79919	G79920	G79921	G79922	G79923	G79924	G79926	G79927	G79929	G79930	G79931	G79933	G79934	G79935	G79936	G79937	G79938	G79940	G79941	G79946	G79947	G79948	G79949	G79950	G79951	G79953	G79955	G79956	G79957	G79960	G79961	G79962	G79963	G79964	G79965	G79966	G79967	G79968	G79969	G79970	G79971	G79972	G79973	G79974	G79975	G79976	G79979	G79980	G79981	G79983	G79985	G79986	G79987	G79988	G79989	G79994	G79995	G79996	G79998	G79999	G80000	G80001	G80002	G80003	G80004	G80005	G80008	G80011	G80015	G80016	G80019	G80020	G80022	G80024	G80025	G80027	G80028	G80030	G80031	G80032	G80036	G80037	G80038	G80040	G80041	G80042	G80043	G80046	G80049	G80050	G80051	G80053	G80054	G80055	G80058	G80059	G80060	G80062	G80065	G80066	G80067	G80068	G80069	G80070	G95634	G95635	G95636	G95637	G95638	G95639	G95640	G95641	G95642	G95643	G95644	G95645	G95646	G95647	G95648	G95649	G95650	G95651	G95652	G95653	G95654	G95655	G95656	G95657	G95658	G95659	G95660	G95661	G95662	G95663	G95664	G95666	G95667	G95668	G95669	G95672	G95673	G95674	G95676	G95677	G95678	G95679	G95680	G95681	G95682	G95683	G95684	G95685	G95686	G95687	G95688	G95689	G95690	G95691	G95692	G95693	G95695	G95696	G95697	G95698	G95699	G95700	G95701	G95703	G95704	G95705	G95706	G95707	G95708	G95709	G95711	G95713	G95714	G95715	G95717	G95719	G95720	G95721	G95723	G95725	G95726	G95728	G95729	G95730	G95731	G95732	G95733	G95734	G95735	G95736	G95737	G95739	G95740	G95741	G95742	G95743	G95745	G95746	G95747	G95748	G95749	G95750	G95751	G95752	G95753	G95754	G95755	G95756	G95757	G95758	G95759	G95760	G95761	G95762	G95763	G95764	G95765	G95766	G95768	G95769	G95770	G95771	G95772	G95773	G95774	G95775	G95776	G95777	G95778	G95779	G95780	G95781	G95782	G95784	G95785	G95786	G95787	G95788	G95789	G95790	G95791	G95792	G95793	G95795	G95796	G95797	G95799	G95801	G95802	G95803	G95804	G95805	G95806	G95807	G95808	G95809	G95810	G95811	G95812	G95813	G95814	G95815	G95816	G95817	G95818	G95819	G95820	G95821	G95822	G95823	G95824	G95825
s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.101403e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002203801	0	1.88428e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.324e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002057022	0	0	0	0	0.004803614	0	0.024083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001929382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2889e-4	0	0	0	0
s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001434355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001063271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.368e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.290003e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001882786	0	0	0	0	5.917401e-4	0	0.01001733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.678328e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.730002e-5	0	0	0	0	0	1.167601e-4	0	0	0	0
s__Rothia_mucilaginosa	0	0	2.400255e-6	0	0	6.185039e-5	0	0	0	0	0	0	0	0	0	3.461235e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.006e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.057218e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.878296e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.12e-5	0	0	0	0	0	0	3.330001e-5	0	0	6.000225e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.277e-4	0	0	0	0	0	0	0	0	0	0	0	3.880269e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.542964e-5	0	0	0	0	0	0	0	0.001888993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.971469e-4	0	0	0	1.751953e-4	2.800739e-5	0	0	0	0	0	0	0	0	0	0	0	0.003655845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.945221e-6	0	0
s__Rothia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.554953e-4	5.265654e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.127e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75e-5	0	0	0	0	0	0	0	0	0	0	0	5.090353e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.880133e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.840101e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.170174e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.227175e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31575e-5	0	3.947488e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.329999e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005151499	0	0	0	0	8.539998e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_adolescentis	0	0	0	0	0.002464701	0	1.705187e-4	0	0	0	0	0	5.701999e-4	0	0	0	0	0.001853932	0.0028959	0	0	0	0	0	0	0	0	1.687e-4	0	0	0	9.649998e-4	0	0	0	0.0012393	0	0	0.0018977	0	0	2.900001e-4	0	4.169001e-4	0	0	0	0.00457397	1.754e-4	0	0	0	0.0020123	0	0	0	0	0.003620315	0	5.67e-5	0.003091586	1.851178e-4	0	0	2.135095e-4	0.02074211	4.227924e-4	0	1.351981e-4	0	0	0.0011888	0	0.004275301	5.700432e-4	0	0	8.220001e-5	0.0076984	0	0	9.205294e-4	0	0	0	0	0	0	0	9.947e-4	0	0.0142075	0	0	0	0	0	0	0	7.200001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013459	5.583e-4	1.652184e-4	0.001350409	0.003657499	0	0	0	0	0	0	0	0	0	0	0	1.476799e-4	0	1.980675e-4	0	0.002248004	0	0	0	0.0269501	0.0029308	0.0376227	7.715e-4	0.001871873	5.195001e-4	0.0011798	0	0	0.037002	0	0	3.730259e-4	1.43e-4	0	0.2440992	7.291606e-5	0	0	0	0	0.1006407	0	0.01736032	0.03342679	2.710557e-5	0	0	0	0	0	1.86e-5	0	2.539e-4	0	0	0.2233596	8.75063e-4	0	0	0	0.001406929	0	0	0	0.005462299	0	0	0.01859641	0	0	0	0	0	0	1.255573e-4	0.1462471	0	0	0.01571518	0.001222704	0	0.0684803	0	0	0	0	0	0	0	0.0115469	0	4.941e-4	8.806496e-5	0.001906261	0.0177577	4.206867e-4	0.007279001	0	0.0378484	0.01364989	0	0.0887473	0	0.0139315	6.300748e-6	2.411e-4	0.1438087	0	0.007926701	0.0029982	1.307827e-4	6.656742e-4	0	0	0	0	7.778547e-5	0.01162807	0.001220802	0	0.003268258	7.447727e-4	0	0	0	0	0	0	1.05575e-4	4.599784e-4	0	4.370233e-4	0.00104994	1.899999e-5	6.66703e-6	0	0	3.052133e-4	0.02212968	0	0	0	0	0	4.08e-5	0	0	0	0	2.192e-4	6.812928e-4	0.005520431	0	0.01238858	0.01380654	0	0.001623343	0.0023409	0	0	0.01956536	0	0	0	0	5.483102e-5	3.305999e-4	0	0	8.936999e-4	0	0.004246	0	0.02823759	2.306634e-4	0.06174899	0.001786839	0.003230635	0.002358842
s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.290001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131707	0	0	0	0	6.020001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	3.303202e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06209e-4	0	5.870209e-4	0	0	0	0	0	0	1.772504e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.698116e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_bifidum	0	0	0	0	0.001383079	0	0	0	0	0	0	0	1.47e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13e-5	0	0	0	2.306e-4	0	0	0	1.849e-4	0	0	0.0012633	0	0	0	0	3.019001e-4	0	0	0	7.554566e-4	0	0	0	0	7.834002e-4	0	0	0	0	0	0	0	0.001466581	0	0	0	0	0.004333702	1.020006e-5	0	0	0	0	3.621e-4	0	0.0013378	0	0	0	0	0.0016393	0	7.131001e-4	0.0012052	0	0	0	0	0	0	0	5.086e-4	0	0.006190901	0	0	0	1.739309e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002733901	0	3.389e-4	0.0010048	0	9.352839e-4	0.0012985	0	0	0	0	3.689999e-5	0	0	0	0.1180619	0	4.748423e-4	0	0	0.00304894	0	0.003085737	0	0	0	0.0252136	0.006497199	0	0	7.325285e-4	0.005274501	0	0	0	0	0	0	0.002929803	3.158e-4	0	1.778e-4	0.001024926	0	0	0	0	0.006610466	0	8.945834e-5	0	0	0	0	0	8.307879e-4	0	0	0	0	0	4.238499e-4	7.562267e-4	0.00165625	0	0.005263974	0	5.643742e-4	0	0	0.0159189	4.542999e-4	0	7.792275e-4	0	0	0	0	0	0	0	4.13318e-4	2.89948e-4	0	0	0.004837931	0.001624993	0	3.114e-4	0.002707089	0	0	0	0	0	0	0	8.547644e-4	4.328e-4	0	1.030087e-4	0.005484951	0.001337676	0.0276111	1.19e-5	6.110999e-4	0.009906396	0	0	0	0	0	4.9e-6	0.00859617	0	0.013667	2.448e-4	0.007639455	9.139392e-4	0	0	0	0	5.805949e-5	0.00575872	6.022061e-4	0	1.993356e-4	4.671729e-4	6.694445e-4	0	0	0	0	0	0.002167055	5.488834e-4	0	0	0	5.759998e-5	4.023452e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.484763e-4	0	0	4.650096e-4	0	0.001095229	0.0010222	6.897186e-4	0	0.003513969	0	0	0	0	4.134527e-4	9.625998e-4	0	0	0.006217999	0	6.860001e-5	0	0	0	5.004999e-4	0.005431568	0.002226689	4.319376e-4
s__Bifidobacterium_breve	1.174876e-5	0	0	0	0	0	0	0	1.838898e-4	0	0	0	0	0	0	0	0	0	0	0	0	1.03932e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	8.670002e-5	0	0	0	0	0	0	0	0	0	0	0	4.23512e-4	0	0	0	0	0	0	1.324386e-4	0	0	0	0	0	0	0	0	0	0	0.001139501	0	0	0	0	0	0	0	0.009457002	0	0	0	0	0.0013353	0	0	0	0	0	0	0	0	0	0	0	0	2.226e-4	0	0	0	0.03208211	0	0	0	0	0	5.535184e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249471	0	0	0	7.048998e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.538e-4	0	0	0	0	0	0	0	0	0	0	0	6.447447e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086576	0	0	0	0	0	0.001995101	7.515172e-6	0	0	8.636726e-4	0	0	0	0	0	0	0	5.81866e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.762805e-4	0	0	0	0.001927299	0	0	0	0	0	0	0	0	0	0	2.262621e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.921269e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04517408	8.44e-5	0	0	0.005555315	0	0	0	0	0	0	0	0	0	0	0.0012726	0	2.4e-5	0	0	0.01538741	0	0
