Pathway	G79887	G79888	G79890	G79893	G79899	G79902	G79904	G79906	G79907	G79908	G79910	G79911	G79914	G79915	G79916	G79917	G79919	G79924	G79926	G79931	G79933	G79935	G79936	G79937	G79938	G79940	G79941	G79946	G79947	G79951	G79953	G79955	G79956	G79960	G79961	G79962	G79963	G79965	G79968	G79971	G79975	G79976	G79979	G79980	G79981	G79983	G79985	G79987	G79988	G79994	G79995	G79996	G79998	G80000	G80001	G80003	G80004	G80005	G80008	G80011	G80020	G80022	G80024	G80030	G80036	G80041	G80043	G80046	G80049	G80050	G80053	G80054	G80055	G80058	G80065	G80066	G80067	G80068
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	4.35736e-4	2.12038e-4	3.32917e-4	2.16177e-4	3.88424e-4	4.25348e-4	0	9.26826e-5	2.04513e-4	9.56228e-5	2.4209e-4	4.16172e-4	4.46359e-4	3.14747e-4	3.36408e-4	4.8765e-5	1.58072e-4	3.43014e-4	4.1719e-4	7.36272e-5	3.47101e-4	1.43176e-4	5.16089e-4	2.4817e-4	2.6913e-4	3.23788e-4	1.45046e-4	2.95439e-4	4.51426e-4	3.53226e-4	3.11288e-4	3.32801e-4	2.0937e-4	1.88471e-4	1.29958e-4	4.22163e-4	5.61168e-4	3.43205e-4	3.61793e-4	2.9435e-4	2.03911e-4	1.94541e-4	3.41288e-4	4.31913e-4	3.58945e-4	2.46408e-4	3.22911e-4	2.18253e-4	5.21944e-4	5.15589e-4	2.9436e-4	2.73756e-4	2.43655e-4	5.44331e-5	3.15918e-4	2.1216e-4	4.16329e-4	1.26465e-4	3.45229e-4	2.82067e-4	2.96725e-4	3.47699e-4	3.76847e-4	4.19298e-4	3.10996e-4	5.29436e-4	2.60754e-4	4.62407e-4	5.03436e-4	6.43915e-4	2.18776e-4	2.79324e-4	4.15151e-4	3.50588e-4	2.11545e-4	2.75347e-4	3.33322e-4	4.77039e-4
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	4.62079e-5	0	0	0	0	0	0	2.70208e-6	2.11104e-7	1.44842e-5	0	0	0	0	0	0	0	2.31206e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.35072e-6	0	4.26976e-5	0	0	4.49271e-6	0	0	0	0	0	1.4559e-5	0	0	0	0	0	0	0	0	0	0	0	0	1.00273e-5	0	0	3.99219e-6	0	0	9.59959e-5	0	7.57376e-7	0	0	3.2741e-5	0	1.30751e-5	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	1.23209e-5	0	3.97942e-6	0	0	1.27227e-5	0	0	3.47972e-6	0	0	5.85373e-6	0	0	8.62745e-6	0	1.46799e-6	0	7.53e-6	0	5.13287e-6	0	6.11489e-6	9.49684e-6	0	0	0	0	0	1.08324e-5	0	0	0	3.37653e-6	0	0	0	6.62695e-6	9.07276e-6	5.27665e-6	1.08214e-5	2.86082e-5	3.38902e-5	4.07778e-6	0	8.73445e-6	3.02826e-6	0	1.16585e-5	0	1.45072e-5	1.43864e-5	0	0	0	1.37671e-6	0	0	0	1.22069e-5	1.9535e-5	2.18932e-6	0	0	6.60704e-6	0	0	1.22454e-5	0	1.43591e-5	1.81047e-6	5.88591e-6	1.41322e-5	3.2982e-6	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	4.79796e-5	0	8.01156e-6	0	0	7.55651e-5	0	0	4.36698e-7	0	0	4.97769e-5	0	0	0	0	0	0	0	0	0	0	2.22136e-5	2.27781e-5	0	0	0	0	2.83594e-7	0	0	0	3.74563e-6	0	0	0	0	1.71901e-6	2.32955e-7	5.45335e-7	5.62566e-6	0	0	9.03711e-6	0	0	3.3441e-7	0	5.13594e-6	0	0	0	0	0	0	0	0	0	0	0	0	8.23629e-6	0	0	1.06002e-6	0	3.98702e-6	0	0	0	0	0	0	3.03176e-6	0	3.79165e-6	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93202e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7291e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92755e-6	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_coprocola	2.12691e-6	0	0	0	0	5.93186e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	1.74639e-6	0	1.02362e-6	1.76248e-5	1.5723e-5	0	0	0	0	0	0	0	0	0	0	0	0	1.42485e-5	0	0	0	0	4.54323e-6	0	0	0	0	0	0	1.02374e-6	0	0	2.18113e-5	0	0	0	0	0	0	0	0	0	0	9.58438e-7	0	0	5.80988e-7	0	9.98867e-7	0	0	0	3.40584e-5	0	0	0	0	0	0	0	0	0	4.44293e-5	0	0	0	1.66874e-5	7.74246e-7	0	0	0	0	0	0	0	2.43347e-5	3.73472e-5	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	6.3942e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08118e-5	0	8.10328e-7	0	0	0	0	0	2.03431e-6	0	0	9.98559e-7	0	0	0	0	0	0	0	0	0	0	0	6.11854e-6	1.09159e-5	0	0	1.02016e-5	0	0	7.64557e-6	0	0	0	7.12102e-6	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	3.45288e-6	0	1.75065e-5	0	0	4.75858e-6	0	0	0	0	0	4.82558e-6	4.64971e-5	8.38776e-6	0	0	4.09387e-6	0	7.02326e-5	0	0	0	4.30651e-5	4.20856e-5	1.10255e-5	0	4.68665e-6	3.84697e-5	4.81306e-6	1.04173e-6	0	0	6.2613e-7	1.62328e-6	2.82344e-6	0	0	0	5.04461e-6	4.75321e-7	3.46709e-6	0	0	2.32315e-5	0	0	3.43417e-6	1.50522e-5	0	9.48447e-5	2.69374e-6	0	0	0	1.03131e-4	8.69908e-7	0	2.83402e-6	0	1.78389e-7	5.34242e-6	3.53225e-7	0	4.27051e-6	0	5.32364e-7	1.43816e-7	0	1.31683e-4	3.3048e-5	1.81543e-6	0	0	2.08244e-6	3.05192e-5	1.74623e-7	0	3.66555e-5
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19355e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34796e-5	0	0	0	0	0	0	0	0	1.7192e-5	0	0
