Pathway	G89286	G89287	G89288	G89290	G89292	G89293	G89294	G89295	G89296	G89297	G89299	G89300	G89301	G89302	G89303	G89304	G89305	G89307	G89308	G89309	G89311	G89312	G89313	G89314	G89315	G89316	G89317	G89320	G89321	G89322	G89323	G89324	G89325	G89328	G89329	G89330	G89331	G89332	G89333	G89334	G89335	G89336	G89338	G89339	G89340	G89341	G89343	G89344	G89345	G89347	G89348	G89349	G89350	G89351	G89352	G89353	G89354	G89355	G89356	G89358	G89360	G89361	G89362	G89363	G89364	G89365	G89366	G89368	G89369	G89370	G89372	G89373	G89374	G89375	G89378	G89379	G89380	G89381
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	6.21959e-5	8.28174e-6	4.74005e-5	3.02575e-4	1.20243e-4	2.96683e-4	6.01928e-5	4.33518e-4	2.19452e-4	0	2.39488e-4	9.3116e-5	2.864e-4	8.86427e-5	9.80769e-5	2.40153e-4	1.18997e-4	9.49359e-5	1.67775e-4	5.33867e-5	6.31459e-5	1.73129e-4	1.89359e-4	6.60787e-5	1.58712e-4	5.67245e-6	5.85318e-5	1.65666e-4	7.17916e-5	2.29617e-4	2.43766e-4	3.7365e-5	2.37157e-4	7.88822e-5	1.73702e-4	6.02303e-5	2.51461e-4	9.71734e-5	1.8302e-4	1.66442e-4	1.86342e-4	2.16273e-4	5.11677e-5	4.81112e-5	1.68757e-4	1.27139e-4	1.40665e-5	3.07209e-4	5.20529e-5	0	1.39467e-4	7.11139e-5	1.00769e-5	3.37478e-4	0	1.95487e-4	3.11798e-5	0	1.75291e-4	0	4.98442e-6	2.11672e-4	2.31311e-4	1.36126e-4	0	8.87427e-5	9.60989e-5	1.58736e-5	5.61441e-6	0	2.66205e-4	1.35274e-4	3.29169e-4	1.26436e-4	2.17339e-5	1.90584e-4	0	7.39455e-5
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56346e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	0	7.51773e-7	0	0	0	0	0	4.10207e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.76357e-6	0	0	0	0	0	0	0	0	8.89073e-6	0	1.26336e-5	1.28337e-5	0	0	0	0	0	0	0	0	5.5978e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18835e-5	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	1.76982e-6	0	0	1.49996e-5	0	0	0	0	0	7.42802e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76428e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	9.50378e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	6.77626e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0305e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05606e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	1.19258e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3638e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0	1.82342e-6	0	0	0	0	0	0	0	0	0	2.50371e-5	1.02925e-5	0	0	8.52691e-6	0	0	0	0	0	2.46784e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33927e-6	8.61258e-6	0	0	0	0	0	0	0	0	0	0	0	0	8.31122e-6	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	6.38455e-6	0	0	0	0	0	0	0	0	0	0	3.42268e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95383e-6	0	0	0	0	0	0	4.16229e-7	0	0	0	0	0	0	0	0	0	0	0	3.20613e-6	0	0	0	0	2.03164e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
