pwy_species	G89286	G89287	G89288	G89290	G89292	G89293	G89294	G89295	G89296	G89297	G89299	G89300	G89301	G89302	G89303	G89304	G89305	G89307	G89308	G89309	G89311	G89312	G89313	G89314	G89315	G89316	G89317	G89320	G89321	G89322	G89323	G89324	G89325	G89328	G89329	G89330	G89331	G89332	G89333	G89334	G89335	G89336	G89338	G89339	G89340	G89341	G89343	G89344	G89345	G89347	G89348	G89349	G89350	G89351	G89352	G89353	G89354	G89355	G89356	G89358	G89360	G89361	G89362	G89363	G89364	G89365	G89366	G89368	G89369	G89370	G89372	G89373	G89374	G89375	G89378	G89379	G89380	G89381
PWY-6123: inosine-5'-phosphate biosynthesis I	0.720248	1.99514	0.108962	0.932393	0.967489	0.424186	0.0916228	0.548031	0.488378	0.691453	1.64537	0.129792	0.607463	1.38807	0.217094	0.667084	0.883214	0.781318	1.99405	0.0814717	0.310785	0.338728	0.649412	0.263648	0.991806	0.103133	1.06945	1.70865	0.459333	0.432165	1.38668	0.0957264	0.301335	0.405154	0.601054	0.220602	0.637377	0.422658	0.339027	0.66483	0.15634	1.0363	1.89058	1.8236	0.978031	0.690665	2.7318	0.797171	4.7022	2.50855	0.569999	0.616798	2.03975	1.15536	0.474588	0.439064	0.814439	22.0391	36.1049	0.636579	0.64511	6.5763	1.14986	0.724169	0.561994	1.029	0.409477	12.4403	1.65078	9.69771	1.06256	0.686487	1.50639	0.270751	0.231526	0.255164	3.70845	1.74207
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_faecis	0.112535	15.6743	0.134709	1.42496	1.63113	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.97715	6.55828	0.0151271	1.83461	0.443659	0.667501	5.13677	5.8039	7.7972	4.02008	0.373354	14.0307	0.23033	0.624881	2.0735	0.243724	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	1.31898	1.66519	1.05335	1.59171	3.85581	7.57838	3.09979	16.9155	0.424276	1.89222	20.594	2.91694	1.06809	0.0346882	1.86767	54.0945	92.0248	4.88524	37.0002	3.45771	26.8447	4.19518	2.26158	1.211	8.05732	17.4164	33.8507	0.591495	1.14722	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	0.0239384	0.368465	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_finegoldii	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	1.08592	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.316967	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	0.398276	1.66567	0.443124	1.66519	1.05335	1.59171	0.543519	7.57838	0.207077	223.401	0.424276	3.3773	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	0.0463222	0.0691161	0.392512	8.05732	0.143579	33.8507	8.12572	0.245603	104.23	267.695	3.85147	0.144831	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	0.171209	2.16169	0.121842	0.639902	5.5309	0.0357818	0.0916228	0.291068	0.751389	6.92402	4.738	0.0626741	0.962902	3.27372	2.35796	0.0598922	3.34192	1.84021	0.121781	0.0151271	1.83461	0.443659	1.44117	0.0811756	0.774703	7.7972	0.222557	0.472466	0.16292	0.122831	0.624881	2.0735	0.686565	2.67304	0.027859	10.2644	1.61959	0.176546	0.0304822	0.83621	2.53158	1.05335	1.59171	0.00265302	7.57838	3.09979	3.51909	0.00813019	35.9623	0.0302162	0.0468091	1.06809	3.29766	1.86767	0.0321209	0.638588	4.88524	2.48207	3.45771	4.24231	0.599515	257.445	0.392512	0.171707	17.4164	6.49079	2.22419	21.0633	0.0792603	1.51277	0.503967	17.5044	847.306	0.179183	0.302198	12.5526	31.494	0.036736
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	1.43959	15.6743	0.564038	1.35216	1.19363	0.75655	0.0916228	0.251503	1.84033	6.92402	1.86187	0.123117	3.12775	7.25833	0.274819	0.0598922	0.107181	0.967455	6.55828	0.083937	2.10915	0.443659	0.342124	5.13677	5.8039	7.7972	4.02008	2.16169	0.211923	2.4372	16.3818	0.440848	5.67789	0.238288	0.447545	10.2644	1.61959	0.752777	1.1639	1.50377	1.66519	1.05335	1.59171	0.00493748	0.0315639	0.059970999999999997	1.86666	0.424276	2.28	20.594	0.661002	0.0199804	1.05792	0.234864	54.0945	1.52941	4.88524	37.0002	3.45771	0.0779982	0.0215613	10.5247	0.00353328	164.585	0.961359	0.122606	8.12572	0.240672	104.23	267.695	0.230274	8.63653	0.035038	15.709	4.63915	12.5526	1.99208	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_salyersiae	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	2.64661	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	0.0278739	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.2747	0.624881	0.0278878	5.67789	3.8584	0.447545	10.2644	1.61959	0.0274847	0.34593	6.26221	1.66519	1.05335	1.59171	0.543519	0.177529	3.09979	1.04798	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	0.321089	0.392512	8.05732	0.392707	0.841781	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	0.0659947	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_sp_1_1_6	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	1.04193	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_sp_2_1_22	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	0.232814	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	0.949839	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.0307377	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_sp_3_2_5	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	2.70087	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	0.788007	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.460487	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	0.0790908	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	2.82491	6.92402	4.22665	0.0290757	0.533283	7.25833	0.0267139	0.643351	5.71953	1.84021	3.06986	0.0151271	0.108854	0.443659	3.1777	0.0160614	5.8039	7.7972	0.335416	0.106982	0.058687	0.140445	0.624881	0.0450199	0.0661077	0.397727	1.29512	10.2644	1.61959	0.466336	0.531443	6.26221	0.170946	1.05335	0.0116395	0.543519	0.185067	19.2416	52.5002	0.424276	35.9623	0.0382973	2.91694	0.0237211	3.29766	180.281	54.0945	0.443869	0.627926	37.0002	3.45771	0.100848	0.0582906	0.161432	58.6283	8.05732	0.392026	1.79693	0.204652	21.0633	0.251481	0.481339	9.01988	0.785019	3.31105	2.59254	4.63915	0.111406	31.494	12.5652
